,MS,,matlab_toolboxes,include_data,save_output,cite_data,forward_slash,stata_packages,DAS,confidential_data
239,25136,6,0,0,0,0,0,0,0,0
317,30633,4,0,0,1,1,0,0,0,0
99,28784,5,0,0,1,0,0,0,0,0
192,18075,6,0,0,0,0,0,0,0,0
161,30815,5,0,0,1,0,0,0,0,0
186,26437,6,0,0,0,0,0,0,0,0
310,26744,3,1,0,0,1,0,1,0,0
258,27014,6,0,0,0,0,0,0,0,0
248,24920,6,0,0,0,0,0,0,0,0
167,27160,6,0,0,0,0,0,0,0,0
301,29948,3,0,0,1,1,0,0,1,0
304,26318,6,0,0,0,0,0,0,0,0
289,28787,5,0,0,1,0,0,0,0,0
243,25098,5,0,0,0,1,0,0,0,0
151,29592,5,0,0,1,0,0,0,0,0
99,28784,5,0,0,1,0,0,0,0,0
222,27118,6,0,0,0,0,0,0,0,0
200,27258,3,0,0,1,1,0,0,0,1
264,28147,3,0,1,0,1,0,0,1,0
183,25632,6,0,0,0,0,0,0,0,0
170,29092,6,0,0,0,0,0,0,0,0
22,25255,2,1,0,1,1,0,0,1,0
3,25632,6,0,0,0,0,0,0,0,0
208,23580,4,0,0,1,1,0,0,0,0
266,26222,4,0,0,1,0,0,0,0,1
27,24618,6,0,0,0,0,0,0,0,0
192,18075,6,0,0,0,0,0,0,0,0
131,28074,1,0,0,1,1,0,1,1,1
290,27333,3,0,0,1,1,0,1,0,0
239,25136,6,0,0,0,0,0,0,0,0
297,29894,4,0,0,0,1,0,0,1,0
291,25995,5,0,0,1,0,0,0,0,0
90,26007,5,0,0,0,0,0,0,1,0
58,28091,3,0,0,1,1,0,0,1,0
84,27157,4,0,0,1,0,0,0,1,0
255,27118,6,0,0,0,0,0,0,0,0
48,26693,2,0,0,0,1,0,1,1,1
252,23483,5,0,0,0,0,1,0,0,0
79,27827-1,6,0,0,0,0,0,0,0,0
265,25146,4,0,1,0,1,0,0,0,0
60,28638,4,0,0,0,1,0,1,0,0
96,29498,5,0,0,0,1,0,0,0,0
195,23594,6,0,0,0,0,0,0,0,0
131,28074,1,0,0,1,1,0,1,1,1
114,28207,5,0,0,0,1,0,0,0,0
268,26817,2,0,1,1,1,0,0,1,0
149,29894,4,0,0,0,1,0,0,1,0
62,22272,3,0,0,1,1,0,1,0,0
41,26684,6,0,0,0,0,0,0,0,0
260,26154,6,0,0,0,0,0,0,0,0
