id,created,revision,downloads,views,unique_downloads,unique_views
7007875,2022-08-18T20:57:14.492489+00:00,3,2.0,27.0,2.0,23.0
6990966,2022-08-14T18:03:15.183901+00:00,3,2.0,16.0,2.0,14.0
6976241,2022-08-09T08:09:27.401992+00:00,3,3.0,24.0,2.0,19.0
6969758,2022-08-06T15:59:13.924673+00:00,3,1.0,26.0,1.0,23.0
6963994,2022-08-04T18:02:01.321249+00:00,3,2.0,8.0,2.0,7.0
6951801,2022-08-02T10:01:29.321807+00:00,3,5.0,18.0,5.0,17.0
6915672,2022-07-27T19:27:19.292447+00:00,3,3.0,20.0,2.0,20.0
6861907,2022-07-19T13:44:40.922631+00:00,2,7.0,36.0,7.0,27.0
6840611,2022-07-15T14:39:22.839866+00:00,3,5.0,22.0,4.0,20.0
6819585,2022-07-11T21:41:52.551598+00:00,10,8.0,72.0,7.0,55.0
6818828,2022-07-11T17:46:37.253496+00:00,3,5.0,45.0,4.0,41.0
6804787,2022-07-07T02:32:36.155711+00:00,3,1.0,13.0,1.0,11.0
6800135,2022-07-05T20:24:31.316339+00:00,3,8.0,36.0,6.0,35.0
6561213,2022-05-26T17:12:34.065438+00:00,3,9.0,46.0,8.0,44.0
6578263,2022-05-24T18:26:59.056594+00:00,3,4.0,45.0,4.0,44.0
6564446,2022-05-19T18:24:10.462584+00:00,3,13.0,31.0,9.0,29.0
6560386,2022-05-18T12:55:20.006972+00:00,3,7.0,52.0,7.0,49.0
6554812,2022-05-16T18:28:35.773074+00:00,3,9.0,55.0,8.0,47.0
6518450,2022-05-04T16:56:43.995557+00:00,3,13.0,48.0,10.0,46.0
6462485,2022-04-15T03:20:36.390755+00:00,3,12.0,159.0,11.0,149.0
6456606,2022-04-13T12:58:57.843130+00:00,3,8.0,60.0,8.0,57.0
6374288,2022-03-21T20:26:06.483010+00:00,3,13.0,78.0,11.0,74.0
6304625,2022-02-28T14:49:02.172613+00:00,3,4.0,53.0,3.0,42.0
6256415,2022-02-24T11:12:57.465733+00:00,3,43.0,163.0,34.0,154.0
6210284,2022-02-21T20:32:40.319434+00:00,4,8.0,47.0,6.0,36.0
6203136,2022-02-21T12:54:10.233554+00:00,3,14.0,49.0,14.0,44.0
5997521,2022-02-07T15:49:49.751413+00:00,3,23.0,96.0,22.0,90.0
5989149,2022-02-07T00:28:32.565751+00:00,3,11.0,65.0,11.0,60.0
5951869,2022-02-03T00:18:58.044086+00:00,4,6.0,57.0,6.0,55.0
5943125,2022-02-01T23:37:01.616325+00:00,3,12.0,49.0,8.0,40.0
5930274,2022-01-31T13:50:23.732440+00:00,4,11.0,54.0,11.0,43.0
5915389,2022-01-29T05:22:37.738274+00:00,3,12.0,50.0,12.0,46.0
5795066,2021-12-21T08:34:00.215265+00:00,3,28.0,106.0,27.0,100.0
5794422,2021-12-20T20:45:08.770852+00:00,3,35.0,109.0,26.0,98.0
5721367,2021-11-23T15:41:18.776152+00:00,3,3.0,35.0,2.0,34.0
5715212,2021-11-19T19:21:26.224883+00:00,4,14.0,89.0,12.0,83.0
5703679,2021-11-15T23:23:50.275624+00:00,3,10.0,71.0,9.0,65.0
5701565,2021-11-15T02:31:49.748870+00:00,5,6.0,93.0,5.0,83.0
5664420,2021-11-10T05:30:24.310251+00:00,3,21.0,64.0,17.0,58.0
5579265,2021-10-19T16:56:22.819416+00:00,3,7.0,90.0,7.0,83.0
5575529,2021-10-18T12:11:40.777138+00:00,5,13.0,128.0,12.0,108.0
5555850,2021-10-08T08:43:24.961155+00:00,3,30.0,105.0,29.0,95.0
5544238,2021-10-01T16:59:34.991890+00:00,3,36.0,117.0,33.0,109.0
5529688,2021-09-27T08:42:45.031501+00:00,3,7.0,53.0,7.0,51.0
5518208,2021-09-21T00:23:49.466263+00:00,3,57.0,136.0,45.0,121.0
5516947,2021-09-20T07:58:50.310250+00:00,3,10.0,44.0,10.0,44.0
5515517,2021-09-18T16:25:21.599028+00:00,3,43.0,94.0,26.0,87.0
5512110,2021-09-16T12:11:05.723705+00:00,5,62.0,134.0,40.0,123.0
5510233,2021-09-15T15:02:44.997800+00:00,4,24.0,68.0,24.0,64.0
5500626,2021-09-10T19:44:41.614214+00:00,4,26.0,127.0,25.0,115.0
5464854,2021-09-06T09:13:40.613418+00:00,3,54.0,96.0,46.0,93.0
5338362,2021-08-30T18:13:35.958275+00:00,2,40.0,130.0,39.0,115.0
5259883,2021-08-25T19:14:00.262842+00:00,3,132.0,249.0,115.0,231.0
5235355,2021-08-23T09:46:16.568202+00:00,4,37.0,97.0,33.0,89.0
5221647,2021-08-19T12:11:20.724677+00:00,3,35.0,104.0,31.0,96.0
5176621,2021-08-11T07:42:12.330373+00:00,6,26.0,128.0,26.0,118.0
5173081,2021-08-10T00:50:58.895941+00:00,3,18.0,77.0,18.0,74.0
5112964,2021-07-19T09:35:05.960372+00:00,6,69.0,192.0,59.0,169.0
5108920,2021-07-16T01:43:50.285221+00:00,4,16.0,116.0,15.0,110.0
5104830,2021-07-14T21:00:25.696183+00:00,3,121.0,979.0,101.0,837.0
5094270,2021-07-13T07:13:19.580752+00:00,3,34.0,104.0,26.0,97.0
5094167,2021-07-13T04:58:24.610661+00:00,3,35.0,103.0,34.0,91.0
5091975,2021-07-12T13:00:33.543483+00:00,3,23.0,95.0,22.0,84.0
5083835,2021-07-09T00:26:45.175455+00:00,3,15.0,71.0,15.0,63.0
4960352,2021-06-15T21:49:48.683716+00:00,3,34.0,83.0,33.0,74.0
4925209,2021-06-11T01:55:28.132714+00:00,4,64.0,152.0,49.0,141.0
4921972,2021-06-10T01:27:57.688938+00:00,3,40.0,244.0,27.0,230.0
4920923,2021-06-09T22:55:11.333807+00:00,3,28.0,89.0,26.0,82.0
4884813,2021-05-31T18:50:11.696049+00:00,5,34.0,84.0,34.0,78.0
4788227,2021-05-25T12:32:05.997587+00:00,3,663.0,143.0,92.0,134.0
4773516,2021-05-19T15:09:58.545767+00:00,3,165.0,220.0,112.0,199.0
4763138,2021-05-14T19:01:17.353101+00:00,4,31.0,91.0,30.0,79.0
4751609,2021-05-12T13:09:11.146714+00:00,4,23.0,83.0,23.0,69.0
4749595,2021-05-11T16:38:35.344147+00:00,4,27.0,82.0,24.0,73.0
4740769,2021-05-06T17:15:19.480497+00:00,6,64.0,192.0,53.0,177.0
4737253,2021-05-04T13:51:14.517620+00:00,3,26.0,104.0,25.0,101.0
4733035,2021-05-02T16:03:55.860806+00:00,4,43.0,119.0,41.0,110.0
4729039,2021-04-30T01:16:47.653070+00:00,4,181.0,58.0,29.0,49.0
4716122,2021-04-23T16:12:55.201331+00:00,3,69.0,177.0,68.0,161.0
4701585,2021-04-19T18:41:21.168056+00:00,3,67.0,155.0,59.0,140.0
4665536,2021-04-06T13:45:57.239605+00:00,3,99.0,224.0,90.0,197.0
4637111,2021-03-25T16:08:17.015670+00:00,4,63.0,158.0,59.0,153.0
4619197,2021-03-18T19:51:18.858656+00:00,3,242.0,263.0,147.0,241.0
4602567,2021-03-13T01:05:16.107229+00:00,4,40.0,143.0,39.0,126.0
4568354,2021-02-27T17:06:57.536360+00:00,3,91.0,269.0,82.0,254.0
4563661,2021-02-26T05:49:24.406656+00:00,3,17.0,63.0,17.0,60.0
4552736,2021-02-19T21:51:12.885994+00:00,4,34.0,65.0,31.0,59.0
4545223,2021-02-17T11:07:52.605731+00:00,3,15.0,54.0,15.0,51.0
4452649,2021-02-08T23:00:48.072371+00:00,3,31.0,96.0,30.0,85.0
4502715,2021-02-04T18:24:46.021107+00:00,4,51.0,131.0,48.0,121.0
4498802,2021-02-03T20:17:14.000999+00:00,3,78.0,172.0,73.0,150.0
4482467,2021-01-30T18:17:39.608518+00:00,3,86.0,208.0,79.0,184.0
4471687,2021-01-27T12:14:23.901188+00:00,3,67.0,187.0,55.0,169.0
4463989,2021-01-25T18:27:56.604525+00:00,3,56.0,90.0,49.0,77.0
4457880,2021-01-22T16:23:34.900787+00:00,2,53.0,97.0,38.0,93.0
4448256,2021-01-18T21:05:00.238870+00:00,3,184.0,178.0,139.0,159.0
4444803,2021-01-16T11:23:25.751686+00:00,5,83.0,194.0,57.0,174.0
4443054,2021-01-15T16:03:39.859137+00:00,3,14.0,91.0,14.0,85.0
4433429,2021-01-12T06:31:42.353844+00:00,3,23.0,92.0,23.0,81.0
4421786,2021-01-06T18:46:54.192925+00:00,3,40.0,316.0,40.0,295.0
